policy,seed_mean,seed_std,steps_mean,steps_std,households_mean,households_std,gini_assets_mean,gini_assets_std,gini_income_mean,gini_income_std,poverty_rate_mean,poverty_rate_std,means_tested_poverty_rate_mean,means_tested_poverty_rate_std,unemployment_rate_mean,unemployment_rate_std,labor_participation_mean,labor_participation_std,avg_wage_mean,avg_wage_std,treasury_mean,treasury_std,avg_deficit_last20_mean,avg_deficit_last20_std,tax_revenue_mean,tax_revenue_std,ubi_spending_mean,ubi_spending_std,targeted_spending_mean,targeted_spending_std,false_positive_spending_mean,false_positive_spending_std,false_negative_amount_mean,false_negative_amount_std
"Mixed, 15% error",30.5,5.916079783099616,80.0,0.0,237.8,4.763899331651046,0.4690550183104897,0.022472893669488292,0.43261339793961123,0.01987021730653433,0.31780174335980355,0.042712441735223414,0.3205116251729375,0.045135264091649016,0.2227624477197264,0.08715499793331406,0.861988816184977,0.020193379564281445,1859.9235646985824,233.2915459673515,6703065.339461347,1164168.8763314858,-93156.82610328273,20995.62136223583,163848.31287407377,20698.612846582375,43589.25,1599.8801558735252,22926.9,2469.2641861600446,1868.475,356.7502249842539,3703.275,456.2942112681708
"Mixed, 5% error",30.5,5.916079783099616,80.0,0.0,238.4,4.672427521895696,0.4597875118339062,0.018620691761938816,0.4216631489357668,0.02152512509079268,0.3013938567283094,0.04833783740991304,0.3074063591899818,0.04660115834227282,0.20064729453360428,0.07101012350007324,0.8633846225749521,0.018824280064097223,1889.5731054814296,220.40638925182247,6371823.703071736,1101402.0826219271,-86383.97979468766,16919.540516945064,158513.02047140765,15907.80176333355,43553.0,1647.1286020159284,24297.525,2605.5289415263796,611.925,135.5326990065497,1251.15,178.01530833049162
No welfare,30.5,5.916079783099616,80.0,0.0,238.45,4.559258942554499,0.6260805083257673,0.032708685187839634,0.5198609653320954,0.030468980673852744,0.4043112564463299,0.06982208368975958,0.37636942324139594,0.06858744588543482,0.22599166330257026,0.087389191853913,0.8608874758464149,0.01961799901748748,1852.6303067402491,253.19404852701624,11288657.626014315,953148.8155965242,-156240.28741123923,16792.083232721125,160926.28479759503,16906.32976370143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Targeted only,30.5,5.916079783099616,80.0,0.0,237.85,4.8370826353343,0.5305320115201873,0.023834243437096114,0.45678157049212215,0.024466114716604988,0.33588516766237325,0.046779964857949115,0.35531375642307306,0.04883656662711526,0.23253733003567195,0.059475481880547264,0.8668986091386419,0.019128328399070124,1796.8533296638725,178.79993275334022,9160579.752484271,1118243.6591345847,-126442.68649578518,19506.30894365159,158744.05444222348,16865.5463492399,0.0,0.0,27914.775,2761.2898133938484,462.525,121.63615665279447,1431.825,192.63390933663723
UBI only,30.5,5.916079783099616,80.0,0.0,239.8,2.307881233831958,0.5475209839811206,0.028371749257412576,0.46629935111772286,0.022170522259032176,0.35711656980819406,0.04560525291177135,0.35357908291624385,0.05323205635735058,0.2324785648151894,0.0849764457974618,0.8593336602589021,0.017407447211894488,1806.4959641082921,193.67781389077922,8167153.511326507,1001834.1191962527,-107835.70751391034,16645.05369843338,156469.37343456317,17214.78994341579,43636.5,1124.719965146879,0.0,0.0,0.0,0.0,0.0,0.0
