household_type,seed,step,wages,income_tax,ubi,targeted,consumption,net_assets
couple_with_children,30.5,70.5,264545.19267121906,52909.03853424382,33435.5,18034.725,231931.49618492665,31174.882952048578
disabled,30.5,70.5,425.37143573147824,85.07428714629566,3995.25,3517.65,18248.495002506017,-10395.297853920834
elderly,30.5,70.5,1306.1196855351484,261.22393710702966,1835.5,1592.925,10091.190639937302,-5617.869891509184
single_young,30.5,70.5,35856.17187142571,7171.234374285143,4243.0,1116.0,28002.910154998997,6041.0273421415695
