income_tax_rate,corporate_tax_rate,ubi_amount,tier_scale,final_treasury,avg_deficit_last20,gini_assets,means_tested_poverty_rate,unemployment_rate,tax_revenue,ubi_spending,targeted_spending,score
0.16,0.28,40.0,0.35,1076727.7474345944,7677.640062313745,0.831921179302625,0.8513818822672315,0.6281991894033301,97970.62660435292,30364.666666666668,75283.59999999999,-0.20355375913051305
0.16,0.28,60.0,0.25,1282888.359758533,8899.996707368422,0.836554071870525,0.8512614057756135,0.6314302848575712,92594.00329263158,46164.0,55330.0,-0.16377379025580235
0.16,0.24,40.0,0.25,1740790.6693236784,-2849.86927198655,0.8510116469299982,0.8478180958095961,0.6039380808985382,87732.86927198654,30550.0,54333.0,-0.14441623418481664
0.16,0.28,80.0,0.25,432587.3527966247,17192.178885236845,0.823518201652382,0.8648149050796926,0.6413871568348156,95307.48778142982,59674.666666666664,52825.0,-0.131960191177818
0.24,0.28,80.0,0.25,1972011.9580113895,-1843.2870777817318,0.8579328639228662,0.8495224236374016,0.6013983425462895,117311.62041111506,60977.333333333336,54491.0,-0.10954609851404605
0.16,0.24,40.0,0.35,395387.2538374304,17093.70346556201,0.831921179302625,0.8513818822672315,0.6281991894033301,88554.56320110465,30364.666666666668,75283.59999999999,-0.10939312509803045
0.16,0.2,40.0,0.25,1058286.9006926268,6437.547627211315,0.8510116469299982,0.8478180958095961,0.6039380808985382,78445.45237278868,30550.0,54333.0,-0.10853945063256898
0.2,0.28,100.0,0.25,139069.57343724216,25940.161840258177,0.8231559873114557,0.8355549229808569,0.6106967401486495,105111.50482640846,76451.66666666667,54600.0,-0.10517361187083402
0.24,0.28,60.0,0.35,1536470.3993346086,7028.293753569192,0.852909545520645,0.8523666182996794,0.5898353481677759,116662.20624643081,46274.0,77416.5,-0.08214755284494268
0.16,0.24,60.0,0.25,612755.1258235434,17775.714406253242,0.836554071870525,0.8512614057756135,0.6314302848575712,83718.28559374675,46164.0,55330.0,-0.07501661326695419
0.2,0.28,60.0,0.25,1931784.962796056,206.6021104215864,0.8561765765961807,0.8693222400319915,0.6755853747615892,102722.39788957841,46706.0,56223.0,-0.0584729772161964
0.24,0.24,40.0,0.35,1522920.5180171535,2024.3263118732093,0.8689794691872974,0.8430411469562099,0.6073219284287884,105996.30702146013,30727.333333333332,77293.3,-0.05441862794892721
0.16,0.28,40.0,0.25,2423294.43795474,-12137.286171184422,0.8510116469299982,0.8478180958095961,0.6039380808985382,97020.2861711844,30550.0,54333.0,-0.05154206519283791
0.24,0.24,80.0,0.25,1269097.8681286715,7853.930022948338,0.8579328639228662,0.8495224236374016,0.6013983425462895,107614.403310385,60977.333333333336,54491.0,-0.04943966906237998
0.24,0.2,60.0,0.25,1413351.7808733396,1274.7993761332298,0.8699979567725945,0.8482781185259324,0.6093874715545987,98454.70062386675,45560.0,54169.5,-0.045329028655099454
0.24,0.28,100.0,0.25,847726.7743662838,15352.799059696772,0.8460564273253096,0.85021455234161,0.6191420597514815,116162.03427363657,76628.33333333333,54886.5,-0.04432534087181808
0.2,0.28,80.0,0.25,1090899.476576714,13003.375353308986,0.8455573098875758,0.8637558788920906,0.6262210904233113,104015.45798002434,61793.333333333336,55225.5,-0.04373162946113754
0.2,0.2,40.0,0.25,1669363.6727394564,-1427.7145569662987,0.8640362220441012,0.8727441288337494,0.6529080760699612,87380.38122363297,30702.666666666668,55250.0,-0.026276150497152595
0.2,0.28,40.0,0.35,1534411.9372800793,7033.38671955369,0.8551949168264065,0.87429829837378,0.6613861196405463,102914.24661377963,31149.333333333332,78798.3,-0.007441855741508352
0.24,0.28,40.0,0.35,2201170.4778536805,-7527.989931725523,0.8689794691872974,0.8430411469562099,0.6073219284287884,115548.62326505885,30727.333333333332,77293.3,0.0006180082495959305
0.24,0.24,60.0,0.35,834966.1117405255,16674.955533242453,0.852909545520645,0.8523666182996794,0.5898353481677759,107015.54446675755,46274.0,77416.5,0.014319064951789917
0.2,0.28,40.0,0.45,265879.7842491344,25717.756567817447,0.8384886024232726,0.8507420682625243,0.6429356974574387,106027.0100988492,31098.666666666668,100646.09999999999,0.014972316638995176
0.16,0.28,60.0,0.35,-31002.860210840165,30080.85770583714,0.8213570247085937,0.856599042918542,0.6643211937488753,92134.04229416286,45777.0,76437.90000000001,0.02001246187730743
0.2,0.28,60.0,0.35,691758.7422430901,20096.443870267645,0.8419927860371645,0.863475621063685,0.6608668530598272,105847.85612973235,47006.0,78938.3,0.021551676538910935
0.24,0.24,60.0,0.25,2105586.278603304,-8469.07349072161,0.8699979567725945,0.8482781185259324,0.6093874715545987,108198.5734907216,45560.0,54169.5,0.02661371249078434
0.2,0.24,60.0,0.25,1252508.0936855238,9316.540611579345,0.8561765765961807,0.8693222400319915,0.6755853747615892,93612.45938842064,46706.0,56223.0,0.032626407795381174
0.24,0.2,40.0,0.35,844670.5581806195,11576.64255547193,0.8689794691872974,0.8430411469562099,0.6073219284287884,96443.9907778614,30727.333333333332,77293.3,0.04110453448706
0.24,0.2,80.0,0.25,566183.7782459486,17551.14712367839,0.8579328639228662,0.8495224236374016,0.6013983425462895,97917.18620965494,60977.333333333336,54491.0,0.047532501944920535
0.2,0.24,80.0,0.25,407991.40089573927,22212.442071440277,0.8455573098875758,0.8637558788920906,0.6262210904233113,94806.39126189305,61793.333333333336,55225.5,0.04835903772017536
0.24,0.24,100.0,0.25,161506.93427566046,24932.18690191642,0.8460564273253096,0.85021455234161,0.6191420597514815,106582.64643141691,76628.33333333333,54886.5,0.05146853755037839
0.2,0.24,40.0,0.25,2357019.449416565,-10843.544004029334,0.8640362220441012,0.8727441288337494,0.6529080760699612,96796.210670696,30702.666666666668,55250.0,0.06788214397347778
0.16,0.2,60.0,0.25,-57378.10811143905,26651.432105138054,0.836554071870525,0.8512614057756135,0.6314302848575712,74842.56789486195,46164.0,55330.0,0.07111867183333304
0.24,0.28,40.0,0.45,757113.9154435197,19631.839333834447,0.8531187879225728,0.8659026448995101,0.6545019657654144,111125.9939994989,30745.333333333332,100012.5,0.07896835921705936
0.2,0.24,40.0,0.35,854704.7690141839,16164.840178479715,0.8551949168264065,0.87429829837378,0.6613861196405463,93782.79315485363,31149.333333333332,78798.3,0.08387267884775185
0.28,0.28,40.0,0.45,1611823.7214760997,4631.5890349993015,0.884583627249793,0.853851548115498,0.5996352155113783,122209.4109650007,29884.0,96957.0,0.08689974997588351
0.28,0.28,60.0,0.35,1880847.618511175,-1011.7471951076004,0.8839926430137943,0.87946295785363,0.6270573745124848,121642.64719510761,45026.0,75604.90000000001,0.09837824563723849
0.28,0.2,60.0,0.25,1830723.5828136795,-3352.0939996447196,0.8937919796724355,0.8453936937093678,0.5690483142150277,100423.59399964473,44013.0,53058.5,0.10229875803719243
0.28,0.28,80.0,0.35,864837.0654235213,18169.542403297983,0.8680544302978767,0.8468252844940514,0.6089081689856172,120386.69093003536,61117.333333333336,77438.90000000001,0.10905157470447896
0.24,0.2,60.0,0.35,133461.8241464387,26321.617312915707,0.852909545520645,0.8523666182996794,0.5898353481677759,97368.8826870843,46274.0,77416.5,0.11078568274852246
0.28,0.28,60.0,0.45,523948.97010935796,22267.31018682767,0.8612667358332947,0.8482170995614151,0.6104680773984571,123729.68981317233,46214.0,99783.0,0.11208671588701169
0.28,0.2,40.0,0.35,1561237.8047547822,1973.5386024829295,0.8916782518159247,0.8584876693438757,0.6029365322215113,103340.66139751708,29878.0,75436.2,0.11215923550426557
0.2,0.24,60.0,0.35,3566.5304448990596,29462.664049825125,0.8419927860371645,0.863475621063685,0.6608668530598272,96481.63595017488,47006.0,78938.3,0.11521387833448576
0.28,0.28,100.0,0.25,1251225.399060527,11723.928745484563,0.8752712945351883,0.8634683170837554,0.6277606849711607,118543.07125451544,75610.0,54657.0,0.1211826887296224
0.28,0.28,100.0,0.35,96265.24443163145,30436.515428237908,0.8473668380794678,0.8540212798825367,0.6236901041126752,118483.65123842876,74331.66666666667,74588.5,0.12198774242039567
0.24,0.28,80.0,0.35,387364.1993459533,25782.712315502577,0.8456401486394037,0.874603329786269,0.6608803280925257,112993.65435116408,61362.666666666664,77413.7,0.12257416659891113
0.2,0.2,60.0,0.25,573231.2245749906,18426.47911273709,0.8561765765961807,0.8693222400319915,0.6755853747615892,84502.5208872629,46706.0,56223.0,0.12372579280695867
0.24,0.28,60.0,0.25,2797820.7763332664,-18212.946357576468,0.8699979567725945,0.8482781185259324,0.6093874715545987,117942.44635757647,45560.0,54169.5,0.1240524411593329
0.28,0.24,80.0,0.25,1489142.2393613402,3889.936392784713,0.8871408851164292,0.875636713363893,0.6309834172868536,110945.73027388197,60278.666666666664,54557.0,0.1383971012503448
0.24,0.28,60.0,0.45,103251.38773927272,33653.897200111765,0.841813900839366,0.8638007030670535,0.6455997323353438,112229.20279988823,46218.0,99665.09999999999,0.1404027830675572
0.28,0.28,80.0,0.25,2157433.3036914645,-5343.778182943647,0.8871408851164292,0.875636713363893,0.6309834172868536,120179.44484961033,60278.666666666664,54557.0,0.15293551915193415
0.28,0.28,40.0,0.55,288540.6335227687,25890.877104101073,0.8633019444150487,0.8448811497968939,0.5993792777554406,124044.82289589893,30270.0,119665.7,0.15386173702122719
0.2,0.28,40.0,0.25,3044675.22609367,-20259.373451092386,0.8640362220441012,0.8727441288337494,0.6529080760699612,106212.04011775904,30702.666666666668,55250.0,0.16204043844410831
0.28,0.24,40.0,0.35,2246064.0195153323,-7433.249001253494,0.8916782518159247,0.8584876693438757,0.6029365322215113,112747.44900125348,29878.0,75436.2,0.16675633949197122
0.24,0.24,40.0,0.45,85520.86825832857,28802.020017172294,0.8531187879225728,0.8659026448995101,0.6545019657654144,101955.81331616105,30745.333333333332,100012.5,0.17067016605043783
0.28,0.24,60.0,0.35,1204347.7945037386,8350.50847569402,0.8839926430137943,0.87946295785363,0.6270573745124848,112280.39152430597,45026.0,75604.90000000001,0.17176585844310266
0.2,0.2,40.0,0.35,174997.60074828417,25296.293637405728,0.8551949168264065,0.87429829837378,0.6613861196405463,84651.33969592761,31149.333333333332,78798.3,0.175187213437012
0.28,0.24,40.0,0.45,926924.9006906523,14042.006939980549,0.884583627249793,0.853851548115498,0.5996352155113783,112798.99306001945,29884.0,96957.0,0.18100392902569598
0.28,0.24,60.0,0.25,2499481.4025076027,-12471.499171635345,0.8937919796724355,0.8453936937093678,0.5690483142150277,109542.99917163533,44013.0,53058.5,0.19349280975709868
0.16,0.24,80.0,0.25,-236481.80546970307,26322.258995726796,0.823518201652382,0.8648149050796926,0.6413871568348156,86177.40767093987,59674.666666666664,52825.0,0.19582241539678458
0.28,0.24,80.0,0.35,188206.7446718777,27464.82394773069,0.8680544302978767,0.8468252844940514,0.6089081689856172,111091.40938560264,61117.333333333336,77438.90000000001,0.202004390148806
0.28,0.24,100.0,0.25,584286.6919827256,20842.405658391122,0.8752712945351883,0.8634683170837554,0.6277606849711607,109424.59434160888,75610.0,54657.0,0.212367457858688
0.24,0.2,40.0,0.25,2012406.7044269498,-10937.204272680507,0.8902762190328101,0.8727446190132757,0.6140059507978944,94514.37093934715,29900.666666666668,53676.5,0.22189759484635335
0.28,0.2,80.0,0.25,820851.1750312261,13123.65096851306,0.8871408851164292,0.875636713363893,0.6309834172868536,101712.0156981536,60278.666666666664,54557.0,0.23073424700762823
0.16,0.28,100.0,0.25,-420694.59947392443,30076.39039509046,0.8078316056777582,0.8229570219045906,0.5390494628702545,97460.60960490955,75015.0,52522.0,0.2397411811966963
0.28,0.2,40.0,0.25,2638883.806268398,-19105.332979504026,0.8969433446162635,0.839807939239953,0.5692710644377778,101964.66631283735,29565.333333333332,53294.0,0.24865963889695591
0.28,0.28,40.0,0.35,2930890.234275878,-16840.03660498993,0.8916782518159247,0.8584876693438757,0.6029365322215113,122154.23660498993,29878.0,75436.2,0.26082421552933555
